_1,_2
Elmira/Corning,6504
North Bend/Coos Bay,3293
Aguadilla,9322
San Antonio,299761
Columbia,63118
Aspen,23850
Sault Ste. Marie,1037
College Station/Bryan,10075
Las Vegas,1136100
Cody,4247
Hilo,19905
Cleveland,440650
Jamestown,1221
White Plains,62810
Iron Mountain/Kingsfd,858
Dickinson,899
Clarksburg/Fairmont,656
Escanaba,938
Butte,2849
Marathon,45
Hilton Head,1917
Waterloo,1882
Plattsburgh,1071
Evansville,23015
Corpus Christi,44069
Columbus,290367
La Crosse,11003
Vernal,324
Dubuque,5898
Roswell,3726
Madison,71347
Inyokern,1869
Missoula,20698
Twin Falls,5972
Rochester,127479
Grand Forks,8060
Bangor,18883
Buffalo,174258
Medford,26643
Hartford,216335
Scottsbluff,336
Mayaguez,43
St. Petersburg,7035
Nome,7546
Grand Rapids,101492
Salem,510
Aniak,28
Sarasota/Bradenton,43807
Hibbing,908
Aberdeen,1041
Midland/Odessa,57537
Latrobe,1669
Dothan,8601
Alpena,905
Bozeman,28281
Tulsa,157459
Grand Junction,18404
Brownsville,11392
Brainerd,914
Key West,11181
Branson,1794
Owensboro,91
Decatur,34
Hobbs,1663
Louisville,155454
Garden City,1343
Oklahoma City,174349
El Centro,2350
Augusta,20564
Barrow,5579
Belleville,796
Jackson,23328
Salt Lake City,744679
Atlantic City,7167
Gunnison,3917
Lincoln,20174
Miami,556058
Appleton,19811
Ithaca/Cortland,3482
Klamath Falls,1739
Omaha,170558
Charlotte,919249
Peoria,25144
Albuquerque,251231
New York,1691536
Detroit,952794
Punta Gorda,4821
Santa Ana,299256
Texarkana,6394
Flint,32602
Pinehurst/Southern Pines,178
Honolulu,237416
Ontario,228024
Kalamazoo,18622
Scranton/Wilkes-Barre,16942
Oakland,421177
Guam,1618
State College,4577
Melbourne,16571
Baltimore,674524
Abilene,14159
Pago Pago,299
Austin,339784
Williamsport,8
Seattle,899418
Longview,4491
Portsmouth,225
Tampa,519512
Crescent City,4380
Cape Girardeau,487
Wichita Falls,7373
Cedar Rapids/Iowa City,53133
San Jose,383810
Allentown/Bethlehem/Easton,33399
Pellston,1816
Binghamton,5273
Savannah,79134
Long Beach,67311
Albany,107594
Modesto,6552
Myrtle Beach,38082
West Palm Beach/Palm Beach,211922
Springfield,53839
Providence,156518
Montrose/Delta,10559
Rapid City,23888
Fargo,31806
Liberal,327
Eagle,15571
Oxnard/Ventura,2012
Durango,12378
Bakersfield,17123
Amarillo,49384
Milwaukee,214154
Reno,179156
Kona,44664
Duluth,13046
Staunton,474
Fresno,62182
New Haven,1134
Lihue,40992
Fort Lauderdale,531689
Mobile,39419
Kinston,563
Dallas/Fort Worth,1889299
Eugene,30583
Sheridan,48
South Bend,29005
Niagara Falls,717
Mission/McAllen/Edinburg,28728
St. Louis,679603
Lafayette,25779
Cold Bay,59
Richmond,139419
Palmdale,313
San Diego,612859
Champaign/Urbana,15537
Kotzebue,7313
Redding,8468
Santa Maria,4257
Hayden,8970
Santa Fe,4762
Brunswick,5611
Bismarck/Mandan,17610
Devils Lake,829
Paducah,2215
Sioux City,3246
Moab,445
Gustavus,715
Denver,1393392
Hickory,230
Los Angeles,1671314
North Platte,348
Deadhorse,3923
Harlingen/San Benito,33332
Daytona Beach,21925
Visalia,542
Newburgh/Poughkeepsie,18326
Norfolk,138677
Bethel,7038
Grand Island,1750
Lawton/Fort Sill,8094
Ponce,4314
Syracuse,87996
Laramie,1148
Everett,588
Bristol/Johnson City/Kingsport,14406
Victoria,619
Cordova,5692
Atlanta,2660019
Nashville,410404
Colorado Springs,99235
Tallahassee,29574
Charlottesville,12467
El Paso,159737
Wichita,76929
Juneau,32784
Lake Charles,6681
Mammoth Lakes,649
Little Rock,119764
Marquette,5420
St. George,12336
Joplin,1800
Boise,106557
Greensboro/High Point,102388
Dallas,349972
Huntsville,55583
Yuma,9958
Minot,10400
Harrisburg,51423
Arcata/Eureka,17337
Lansing,23085
Flagstaff,4725
Muskegon,2161
Asheville,28329
Traverse City,22087
Ogden,79
Hoolehua,10
Lynchburg,3268
Birmingham,141955
Houston,1575107
Idaho Falls,12578
Stillwater,461
Bemidji,1010
Sanford,9268
Chattanooga,29038
Concord,120
Cincinnati,512872
San Luis Obispo,24705
Dillingham,1606
Fayetteville,86241
Telluride,265
St. Cloud,367
Watertown,710
Bullhead City,123
Wilmington,25089
Akron,45042
Sun Valley/Hailey/Ketchum,7701
Youngstown/Warren,4
Gillette,3985
Hancock/Houghton,2461
Panama City,24657
Kansas City,417446
Kodiak,4293
Pasco/Kennewick/Richland,17266
Pittsburgh,439354
Fort Wayne,34086
Killeen,21516
Fort Myers,186774
Red River,15
Orlando,850456
Martha's Vineyard,583
Hattiesburg/Laurel,1113
Manhattan/Ft. Riley,4848
Knoxville,83611
Palm Springs,70944
Des Moines,89481
Charlotte Amalie,25721
Laredo,13802
Valdosta,5939
Fort Smith,11773
Petersburg,6146
Elko,5074
Macon,2956
Helena,8716
Lanai,14
Gainesville,16295
Islip,53130
Baton Rouge,56483
St. Mary's,20
Santa Barbara,50337
Fairbanks,36304
Topeka,212
Pocatello,4872
Erie,6603
Yakima,363
Philadelphia,823169
San Juan,205284
Anchorage,163136
Tupelo,690
Lexington,52889
St. Augustine,204
Spokane,98657
Casper,9510
King Salmon,1965
Hays,1138
Burlington,44539
Green Bay,37862
CONCORD,724
Great Falls,15475
Minneapolis,907994
Alexandria,15802
Salina,554
Santa Rosa,1632
Jacksonville,205286
International Falls,907
Saginaw/Bay City/Midland,22974
Burbank,196046
New Bern/Morehead/Beaufort,4103
Pueblo,729
Chico,5128
Valparaiso,39602
Rock Springs,3867
Roanoke,21383
Naples,1107
Del Rio,372
Prescott,296
Dayton,95324
Eau Claire,2193
Phoenix,1313437
Florence,2167
Provo,419
Williston,3189
Pierre,215
Lewisburg,1221
Manchester,100413
Jackson/Vicksburg,70475
Dodge City,35
Greenville,326
Jacksonville/Camp Lejeune,7083
Sacramento,341005
Cedar City,2904
Montgomery,22171
Pensacola,63199
Bend/Redmond,14308
Kahului,87768
Meridian,4701
Gulfport/Biloxi,29591
Adak Island,536
Cheyenne,325
Bloomington/Normal,19242
Charleston/Dunbar,23304
Memphis,307347
Monterey,28925
Kearney,285
Newport News/Williamsburg,21642
Carlsbad,6675
Unalaska,1893
Quincy,561
Boston,920586
Mosinee,8682
Newark,1160041
Tucson,158676
Yakutat,5576
Rockford,1026
Lewiston,1973
Washington,1113099
Kalispell,14946
New Orleans,339132
Sitka,10663
San Francisco,1265208
Riverton/Lander,96
West Yellowstone,1143
Moses Lake,56
Greer,75105
Ketchikan,19725
Shreveport,44855
Indianapolis,282907
Portland,483861
Tunica,52
Chicago,3031630
Ashland,1860
Tyler,10095
San Angelo,8398
Beaumont/Port Arthur,4193
Wrangell,6072
Monroe,18773
Moline,33260
Saipan,174
Stockton,667
Waco,9304
Ogdensburg,239
Sioux Falls,40505
Rhinelander,1314
Worcester,2062
Nantucket,2357
Charleston,97386
Lubbock,56418
Raleigh/Durham,355428
Bellingham,2591
Toledo,14430
Billings,26657
Trenton,6782
Hyannis,144
Christiansted,6250
Hagerstown,126
